room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
5141135,1454,20676997,Shared room,,Belgium,Gent,Gent,9,4.5,2,1.0,,59.0,,Spacious shared apartment in Gent,2017-07-17 03:49:10.237453,51.034197,3.714149,0101000020E6100000D2C43BC093B60D40874F3A9160844940
13128333,1454,46098805,Shared room,,Belgium,Brussel,Schaarbeek,2,0.0,2,1.0,,53.0,,appartement cosy,2017-07-17 03:49:09.020871,50.869153,4.384435,0101000020E610000044C02154A9891140321CCF67406F4940
8298885,1454,30924336,Shared room,,Belgium,Brussel,Elsene,12,4.0,2,1.0,,46.0,,YOU'LL FEEL AT HOME!!!,2017-07-17 03:49:09.014704,50.828293,4.37659,0101000020E6100000A80018CFA0811140BC404981056A4940
13822088,1454,81440431,Shared room,,Belgium,Oostende,Middelkerke,19,4.5,4,1.0,,56.0,,"studio douillet pour un séjour ""Low-budget""",2017-07-17 03:49:07.929876,51.1905,2.822373,0101000020E610000042E8A04B38940640AAF1D24D62984940
18324301,1454,14294054,Shared room,,Belgium,Brussel,Anderlecht,5,5.0,2,1.0,,47.0,,NICE place..metro..tram. TGV..BUS.................,2017-07-17 03:49:07.918941,50.839715,4.33385,0101000020E610000012143FC6DC551140F67AF7C77B6B4940
12664969,1454,68810179,Shared room,,Belgium,Brussel,Koekelberg,28,5.0,4,1.0,,60.0,,Chez Toi in Bruxelles,2017-07-17 03:49:06.301487,50.859097,4.336969,0101000020E61000003410CB660E591140BD8BF7E3F66D4940
15452889,1454,99127166,Shared room,,Belgium,Gent,Gent,2,0.0,2,1.0,,41.0,,a day in the life of a beautifull home,2017-07-17 03:49:04.064557,51.055076,3.746806,0101000020E610000011A7936C75F90D40B265F9BA0C874940
3911778,1454,3690027,Shared room,,Belgium,Brussel,Elsene,13,4.0,2,1.0,,36.0,,Calm Bruxellois area,2017-07-17 03:49:02.489395,50.814246,4.384256,0101000020E6100000C72AA5677A8911400C73823639684940
14929414,1454,30624501,Shared room,,Belgium,Verviers,Baelen,2,0.0,8,1.0,,18.0,,"Ecurie du Bois Doré, dortoir agréable",2017-07-17 03:49:02.477617,50.633197,5.950236,0101000020E61000006CED7DAA0ACD174071766B990C514940
8497852,1454,40513093,Shared room,,Belgium,Brussel,Etterbeek,57,4.5,3,1.0,,38.0,,Bel appartement cosy à partager,2017-07-17 03:49:01.173568,50.837711,4.394056,0101000020E6100000992B836A83931140EE3F321D3A6B4940
19372053,1454,18715177,Shared room,,Belgium,Tournai,Brunehaut,1,0.0,4,1.0,,14.0,,Chambre 3/4 pers.dans ferme du vieux chateau,2017-07-17 03:49:01.170957,50.517705,3.384048,0101000020E6100000F0C000C287120B40E3FC4D2844424940
19855549,1454,128685860,Shared room,,Belgium,Brussel,Etterbeek,0,0.0,2,1.0,,37.0,,Cosy & bright living room with comfy sleep options,2017-07-17 03:49:01.162682,50.827489,4.384322,0101000020E61000008388D4B48B8911405E66D828EB694940
6772358,1454,34993608,Shared room,,Belgium,Gent,Gent,143,5.0,2,1.0,,28.0,,Couch-bed in Ghent,2017-07-17 03:49:01.157750,51.03783,3.714062,0101000020E6100000E4874A2366B60D4062670A9DD7844940
13852832,1454,81817614,Shared room,,Belgium,Arlon,Arlon,0,0.0,1,1.0,,177.0,,Logement,2017-07-17 03:48:56.542112,49.686412,5.830874,0101000020E6100000066344A2D05217407DCA3159DCD74840
11581251,1454,49968974,Shared room,,Belgium,Kortrijk,Waregem,1,0.0,4,1.0,,147.0,,Terrasappartement 62,2017-07-17 03:48:56.536289,50.876171,3.401739,0101000020E6100000D238D4EFC2360B40105A0F5F26704940
3645177,1454,18411614,Shared room,,Belgium,Antwerpen,Boom,3,4.5,2,1.0,,177.0,,PRIVATE ROOM near TOMORROWLAND,2017-07-17 03:48:56.533485,51.093157,4.380444,0101000020E610000073D6A71C938511405D328E91EC8B4940
12032748,1454,63713892,Shared room,,Belgium,Verviers,Büllingen,0,0.0,2,1.0,,129.0,,"Spacious, two-person room",2017-07-17 03:48:55.128993,50.406102,6.264116,0101000020E6100000BE66B96C740E19408B6B7C26FB334940
12034268,1454,63713892,Shared room,,Belgium,Verviers,Büllingen,0,0.0,2,1.0,,140.0,,"Spacious, two-person room",2017-07-17 03:48:55.126446,50.40801,6.262573,0101000020E61000001C40BFEFDF0C19407138F3AB39344940
